ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA
8882;2;5;24.72030572;84.51004967;24.76225711;84.53832551;24.74128074;84.52418199;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
8883;2;11;26.01493027;85.08423583;26.04020312;85.17023499;26.02909813;85.12598234;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;1;1;0
8884;1;16;25.63608381;84.91918694;25.66132596;85.01493646;25.64975639;84.96605992;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;1;1;0
8885;2;9;24.9636989;84.63095022;24.98888791;84.69098107;24.97629316;84.65919903;India;IND;0;1;India;IND;Asia;South-Central Asia;Goh;Goh;GISCO OSM;1;1;1;3
8886;1;30;6.686239789;79.97863986;6.734893808;80.08377606;6.715702278;80.02237066;Sri Lanka;LKA;0;1;Sri Lanka;LKA;Asia;South-Central Asia;Horana;Horana;;;;;
8887;1;13;25.30811922;84.78257649;25.35014703;84.83270544;25.33171877;84.80794107;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;1;1;0
8888;2;24;26.48703341;85.34767685;26.55453644;85.41371002;26.5214862;85.38619566;India;IND;0;1;India;IND;Asia;South-Central Asia;Parsauni;Parsauni;GISCO OSM;0;0;1;0
8889;2;24;26.04862786;85.1359234;26.09075502;85.2174241;26.07320134;85.17445582;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8890;2;4;25.73706461;84.98143135;25.7538979;85.01709898;25.74337699;85.00019841;India;IND;0;1;India;IND;Asia;South-Central Asia;Dighwara;Dighwara;GISCO OSM;0;0;1;0
8891;2;30;24.62803155;84.52063999;24.6783597;84.60886241;24.65766831;84.56698897;India;IND;0;1;India;IND;Asia;South-Central Asia;Madanpur;Madanpur;GISCO OSM;0;1;1;0
8892;1;11;16.73585708;81.82501756;16.77697202;81.86013904;16.75865677;81.84208016;India;IND;0;1;India;IND;Asia;South-Central Asia;Ravulapalem;Ravulapalem;GISCO OSM;0;0;0;0
8893;2;11;25.94754609;85.08595084;25.98965948;85.14369949;25.9647736;85.11935128;India;IND;0;1;India;IND;Asia;South-Central Asia;Kalyanpur;Kalyanpur;;;;;
8894;2;12;25.35014703;84.82574082;25.40058772;84.87593225;25.37396524;84.85369952;India;IND;0;1;India;IND;Asia;South-Central Asia;Ular;Ular;GISCO OSM;0;0;1;0
8895;2;3;24.08329919;84.2883916;24.10004696;84.31291848;24.09027733;84.30003361;India;IND;0;1;India;IND;Asia;South-Central Asia;Tarhasi;Tarhasi;GISCO OSM;0;0;1;0
8896;2;8;26.63049538;85.41204564;26.66426105;85.44519994;26.64737774;85.42933384;India;IND;0;1;India;IND;Asia;South-Central Asia;Riga;Riga;GISCO OSM;0;0;0;0
8897;1;18;26.2171711;85.22983132;26.25089085;85.33655538;26.23449884;85.28075441;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8898;2;3;25.78756721;85.02515607;25.80440322;85.05394389;25.79738811;85.03839858;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8899;2;5;25.76231489;85.02457548;25.77914954;85.07464393;25.77325731;85.04753697;India;IND;0;1;India;IND;Asia;South-Central Asia;Sitalpur;Sitalpur;GISCO OSM;0;1;1;0
8900;1;12;24.80421388;84.61257208;24.83778318;84.67265541;24.82029874;84.63966694;India;IND;0;1;India;IND;Asia;South-Central Asia;Rafiganj;Rafiganj;GISCO OSM;1;1;1;6
8901;1;24;16.85098748;81.88429339;16.90033726;81.95826398;16.87154929;81.92561888;India;IND;0;1;India;IND;Asia;South-Central Asia;Mandapeta;Mandapeta;GISCO OSM;0;1;1;0
8902;2;16;26.11603408;85.20525199;26.15817046;85.26543318;26.13499474;85.23705538;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8903;2;11;25.15686486;84.77748419;25.19047077;84.83753696;25.17404926;84.81093554;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8904;2;2;25.93070233;85.13167581;25.93912409;85.15676229;25.93491318;85.1442186;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8905;2;7;25.19887279;84.81685534;25.2240802;84.86295259;25.21507733;84.83706829;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8906;2;12;25.10646258;84.78060657;25.14846393;84.83004266;25.12886262;84.80946472;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
8907;2;4;24.42679574;84.48254382;24.44356072;84.51065722;24.43517812;84.49659929;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8908;1;37;6.199799336;80.02139752;6.337606099;80.07305241;6.268481886;80.04592761;Sri Lanka;LKA;0;1;Sri Lanka;LKA;Asia;South-Central Asia;Ambalangoda;Ambalangoda;;;;;
8909;2;10;25.45944531;84.94416736;25.50990338;84.98016973;25.48467334;84.96159892;India;IND;0;1;India;IND;Asia;South-Central Asia;Naubatpur;Naubatpur;GISCO OSM;0;0;1;0
8910;2;18;16.69474552;81.8814746;16.7440798;81.94143953;16.72032565;81.90875483;India;IND;0;1;India;IND;Asia;South-Central Asia;Kothapeta;Kothapeta;GISCO OSM;0;0;0;0
8911;1;58;26.52922104;85.44100196;26.61361396;85.57033971;26.58247314;85.51086184;India;IND;0;1;India;IND;Asia;South-Central Asia;Sitamarhi;Sitamarhi;GISCO OSM;1;1;1;25
8912;1;3;26.39424128;85.3632506;26.41111047;85.38848485;26.40126999;85.37537765;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
8913;1;204;25.99808285;85.27231107;26.25089085;85.48341217;26.12355211;85.36676316;India;IND;0;1;India;IND;Asia;South-Central Asia;Muzaffarpur;Muzaffarpur;GISCO OSM;1;1;3;49
8914;1;156;25.54354656;85.01714912;25.65291169;85.2862289;25.59973435;85.13338152;India;IND;0;1;India;IND;Asia;South-Central Asia;Patna;Patna;GISCO OSM;1;1;1;139
8915;2;4;23.38899141;84.09461003;23.40570527;84.12223259;23.39734824;84.10842013;India;IND;0;1;India;IND;Asia;South-Central Asia;Mahuandanr;Mahuandanr;GISCO OSM;0;0;0;0
8916;2;7;20.69973384;83.1101301;20.71632718;83.15453912;20.7074378;83.13131325;India;IND;0;1;India;IND;Asia;South-Central Asia;Patnagarh;Patnagarh;GISCO OSM;0;0;0;0
8917;2;31;6.921418308;80.11391569;6.961970821;80.2341918;6.941432768;80.18096239;Sri Lanka;LKA;0;1;Sri Lanka;LKA;Asia;South-Central Asia;Avissawella;Avissawella;GISCO OSM;0;0;0;0
8918;2;19;26.08232913;85.26846603;26.13288794;85.34233921;26.10561176;85.30219766;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8919;2;8;25.83807798;85.16167148;25.88017654;85.19050324;25.85807409;85.176396;India;IND;0;1;India;IND;Asia;South-Central Asia;Lalganj;Lalganj;GISCO OSM;0;0;1;0
8920;1;13;18.83724397;82.54977751;18.88680461;82.59107305;18.8610705;82.56814959;India;IND;0;1;India;IND;Asia;South-Central Asia;Jeypore;Jeypore;GISCO OSM;1;1;1;8
8921;1;11;17.27061882;82.09064684;17.31177862;82.13398331;17.28970156;82.10903894;India;IND;0;1;India;IND;Asia;South-Central Asia;Yeleswaram;Yeleswaram;GISCO OSM;1;1;1;9
8922;1;7;26.41954541;85.44284356;26.45328754;85.47877503;26.43340333;85.46288944;India;IND;0;1;India;IND;Asia;South-Central Asia;Athri;-;N/A;0;0;0;0
8923;2;11;25.78756721;85.1641754;25.82965895;85.21052606;25.81014298;85.18766473;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;1;1;0
8924;2;3;24.44356072;84.57410366;24.46032654;84.60223219;24.45334068;84.58698579;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
8925;2;3;24.42679574;84.58119105;24.44356072;84.60582688;24.43657521;84.59410849;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;1;1;1;2
8926;2;2;23.84891737;84.34104274;23.85728537;84.36550784;23.85310135;84.35327488;India;IND;0;1;India;IND;Asia;South-Central Asia;Manika;Manika;GISCO OSM;0;0;1;0
8927;1;9;16.80986642;82.00070741;16.85098748;82.04391686;16.83316794;82.02482966;India;IND;0;1;India;IND;Asia;South-Central Asia;Ramachandrapuram;Ramachandrapuram;GISCO OSM;0;0;1;0
8928;2;1;25.14846393;84.89396063;25.15686486;84.90819812;25.15266437;84.90107906;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;1;1;0
